UPI_ref_no,Payer_UPI_id,Payee_UPI_id,Txn_amt,eventTime___,Txn_date,eventHour,week_day
570636636560,ab1001@okicicibank,xm9001@oksbi,14992,2022-06-19 14:21:32.000000 UTC,2022-06-19,14,1
675672049212,ab1001@okicicibank,xm9001@oksbi,14371,2022-06-19 09:24:24.000000 UTC,2022-06-19,9,1
347217153854,ab1001@okicicibank,xm9001@oksbi,14952,2022-07-17 14:36:36.000000 UTC,2022-07-17,14,1
103363183142,ab1001@okicicibank,xm9001@oksbi,14077,2022-06-12 18:45:15.000000 UTC,2022-06-12,18,1
942328654204,ab1001@okicicibank,xm9001@oksbi,14133,2022-08-21 12:36:33.000000 UTC,2022-08-21,12,1
744584758162,ab1001@okicicibank,xm9001@oksbi,14315,2022-06-19 13:32:25.000000 UTC,2022-06-19,13,1
19604557653,ab1001@okicicibank,xm9001@oksbi,14477,2022-02-13 16:30:36.000000 UTC,2022-02-13,16,1
339973020085,ab1001@okicicibank,xm9001@oksbi,14012,2022-02-13 12:42:25.000000 UTC,2022-02-13,12,1
457995127554,ab1001@okicicibank,xm9001@oksbi,14068,2022-01-09 13:30:30.000000 UTC,2022-01-09,13,1
454859673788,ab1001@okicicibank,xm9001@oksbi,14621,2022-04-17 16:27:36.000000 UTC,2022-04-17,16,1
856576783579,ab1001@okicicibank,xm9001@oksbi,14158,2022-10-09 12:32:35.000000 UTC,2022-10-09,12,1
140040628554,ab1001@okicicibank,xm9001@oksbi,14870,2022-05-08 15:35:36.000000 UTC,2022-05-08,15,1
57656984612,ab1001@okicicibank,xm9001@oksbi,14672,2022-09-18 17:23:26.000000 UTC,2022-09-18,17,1
727925011804,ab1001@okicicibank,xm9001@oksbi,14174,2022-08-14 12:25:31.000000 UTC,2022-08-14,12,1
882001832194,ab1001@okicicibank,xm9001@oksbi,14179,2022-07-17 16:39:26.000000 UTC,2022-07-17,16,1
318349911546,ac1001@okaxis,xp9905@oksbi,2048,2022-05-15 18:33:35.000000 UTC,2022-05-15,18,1
267804410181,ac1001@okaxis,xp9905@oksbi,2363,2022-03-27 09:41:32.000000 UTC,2022-03-27,9,1
939037904757,ac1001@okaxis,xp9905@oksbi,2603,2022-01-16 16:38:32.000000 UTC,2022-01-16,16,1
233269796078,ac1001@okaxis,xp9905@oksbi,2891,2022-07-24 19:31:21.000000 UTC,2022-07-24,19,1
296983493401,ac1001@okaxis,xp9905@oksbi,2239,2022-03-13 13:23:30.000000 UTC,2022-03-13,13,1
715131233431,ac1001@okaxis,xp9905@oksbi,2040,2022-03-06 14:37:27.000000 UTC,2022-03-06,14,1
854873652042,ac1001@okaxis,xp9905@oksbi,2617,2022-06-19 19:23:40.000000 UTC,2022-06-19,19,1
374016216983,ac1001@okaxis,xp9905@oksbi,2227,2022-05-15 18:29:17.000000 UTC,2022-05-15,18,1
365283657564,ac1001@okaxis,xp9905@oksbi,2250,2022-03-06 16:31:41.000000 UTC,2022-03-06,16,1
203677392544,ac1001@okaxis,xp9905@oksbi,2801,2022-01-09 19:34:34.000000 UTC,2022-01-09,19,1
796537184920,ac1001@okaxis,xp9905@oksbi,2881,2022-09-18 19:40:26.000000 UTC,2022-09-18,19,1
112682247704,ac1001@okaxis,xp9905@oksbi,2348,2022-07-17 19:34:27.000000 UTC,2022-07-17,19,1
904830935987,ac1001@okaxis,xp9905@oksbi,2705,2022-01-09 19:34:33.000000 UTC,2022-01-09,19,1
314037084244,ac1001@okaxis,xp9905@oksbi,2242,2022-01-23 14:17:22.000000 UTC,2022-01-23,14,1
750282520596,ac1001@okaxis,xp9905@oksbi,2330,2022-04-10 14:26:34.000000 UTC,2022-04-10,14,1
628234979483,ac1001@okaxis,xp9905@oksbi,2947,2022-01-16 13:39:26.000000 UTC,2022-01-16,13,1
105017459641,ac1001@okaxis,xp9905@oksbi,2285,2022-09-18 12:16:39.000000 UTC,2022-09-18,12,1
866468782511,ac1001@okaxis,xp9905@oksbi,2887,2022-08-07 19:32:33.000000 UTC,2022-08-07,19,1
529099204651,ac1001@okaxis,xp9905@oksbi,2866,2022-01-09 08:29:36.000000 UTC,2022-01-09,8,1
264212327521,aa1001@okhdfcbank,xd1001@okaxis,8360,2022-03-13 11:31:35.000000 UTC,2022-03-13,11,1
245014023158,aa1001@okhdfcbank,xd1001@okaxis,9073,2022-06-05 19:39:37.000000 UTC,2022-06-05,19,1
593534978396,aa1001@okhdfcbank,xd1001@okaxis,8913,2022-06-12 16:14:26.000000 UTC,2022-06-12,16,1
266852495401,aa1001@okhdfcbank,xd1001@okaxis,8988,2022-09-11 15:40:30.000000 UTC,2022-09-11,15,1
354147871152,aa1001@okhdfcbank,xd1001@okaxis,8562,2022-06-19 19:39:30.000000 UTC,2022-06-19,19,1
239528371389,aa1001@okhdfcbank,xd1001@okaxis,8894,2022-02-13 19:21:40.000000 UTC,2022-02-13,19,1
610653419760,aa1001@okhdfcbank,xd1001@okaxis,8148,2022-06-12 19:32:33.000000 UTC,2022-06-12,19,1
730224921255,ab1001@okicicibank,xn9001@okaxis,18129,2022-09-11 13:27:34.000000 UTC,2022-09-11,13,1
44333086055,ab1001@okicicibank,xn9001@okaxis,18679,2022-01-16 15:36:45.000000 UTC,2022-01-16,15,1
365244986710,ab1001@okicicibank,xn9001@okaxis,18649,2022-01-09 11:18:21.000000 UTC,2022-01-09,11,1
146734434089,ab1001@okicicibank,xn9001@okaxis,18850,2022-06-19 17:24:34.000000 UTC,2022-06-19,17,1
134266585831,ab1001@okicicibank,xn9001@okaxis,18838,2022-07-10 09:33:42.000000 UTC,2022-07-10,9,1
890845045188,ab1001@okicicibank,xn9001@okaxis,18187,2022-04-17 19:42:36.000000 UTC,2022-04-17,19,1
449416803654,ab1001@okicicibank,xn9001@okaxis,18225,2022-04-17 15:21:21.000000 UTC,2022-04-17,15,1
344123132642,ab1001@okicicibank,xn9001@okaxis,18541,2022-08-14 19:24:36.000000 UTC,2022-08-14,19,1
769834784814,ab1001@okicicibank,xn9001@okaxis,18877,2022-06-05 17:28:32.000000 UTC,2022-06-05,17,1
688045220654,ab1001@okicicibank,xn9001@okaxis,18699,2022-05-22 19:33:28.000000 UTC,2022-05-22,19,1
943949112166,ab1001@okicicibank,xn9001@okaxis,18352,2022-03-06 18:30:33.000000 UTC,2022-03-06,18,1
890789641576,ab1001@okicicibank,xn9001@okaxis,18860,2022-06-05 19:29:30.000000 UTC,2022-06-05,19,1
140255180566,ab1001@okicicibank,xn9001@okaxis,18832,2022-03-13 19:17:18.000000 UTC,2022-03-13,19,1
183882626592,ab1001@okicicibank,xn9001@okaxis,18052,2022-02-13 19:38:33.000000 UTC,2022-02-13,19,1
511362193526,ab1001@okicicibank,xn9001@okaxis,18198,2022-05-15 11:25:36.000000 UTC,2022-05-15,11,1
579993960509,ab1001@okicicibank,xn9001@okaxis,18212,2022-06-12 13:28:24.000000 UTC,2022-06-12,13,1
975054910902,ab1001@okicicibank,xn9001@okaxis,18879,2022-01-23 14:47:25.000000 UTC,2022-01-23,14,1
385557953200,ab1001@okicicibank,xn9001@okaxis,18828,2022-01-16 19:44:33.000000 UTC,2022-01-16,19,1
626097745468,ab1001@okicicibank,xn9001@okaxis,18588,2022-08-28 10:31:33.000000 UTC,2022-08-28,10,1
480347090971,ab1001@okicicibank,xn9001@okaxis,18557,2022-04-17 11:27:28.000000 UTC,2022-04-17,11,1
728990621170,ac1001@okaxis,xs9905@okaxis,7806,2022-01-16 16:32:33.000000 UTC,2022-01-16,16,1
844672128984,ac1001@okaxis,xs9905@okaxis,7298,2022-05-15 11:33:28.000000 UTC,2022-05-15,11,1
637089764459,ac1001@okaxis,xs9905@okaxis,7129,2022-07-10 13:39:19.000000 UTC,2022-07-10,13,1
935509188045,ac1001@okaxis,xs9905@okaxis,7643,2022-07-17 11:36:27.000000 UTC,2022-07-17,11,1
540352585300,ac1001@okaxis,xs9905@okaxis,7286,2022-07-10 14:37:21.000000 UTC,2022-07-10,14,1
670284565633,ac1001@okaxis,xs9905@okaxis,7195,2022-09-04 19:38:18.000000 UTC,2022-09-04,19,1
628825831044,ac1001@okaxis,xs9905@okaxis,7608,2022-08-07 19:41:42.000000 UTC,2022-08-07,19,1
95131208800,ac1001@okaxis,xs9905@okaxis,7663,2022-09-11 19:33:38.000000 UTC,2022-09-11,19,1
873107601412,ac1001@okaxis,xs9905@okaxis,7612,2022-08-14 08:43:31.000000 UTC,2022-08-14,8,1
922340246879,ac1001@okaxis,xs9905@okaxis,7159,2022-08-14 19:44:26.000000 UTC,2022-08-14,19,1
851150395749,ac1001@okaxis,xs9905@okaxis,7766,2022-04-17 12:20:29.000000 UTC,2022-04-17,12,1
523069104052,ac1001@okaxis,xs9905@okaxis,7725,2022-08-21 16:31:22.000000 UTC,2022-08-21,16,1
550136900050,ac1001@okaxis,xs9905@okaxis,7754,2022-02-13 14:34:37.000000 UTC,2022-02-13,14,1
277229442893,ac1001@okaxis,xs9905@okaxis,7076,2022-07-10 08:27:18.000000 UTC,2022-07-10,8,1
888814316047,ac1001@okaxis,xs9905@okaxis,7391,2022-10-09 08:27:28.000000 UTC,2022-10-09,8,1
642478862629,ac1001@okaxis,xs9905@okaxis,7816,2022-06-19 16:45:37.000000 UTC,2022-06-19,16,1
45444399681,ac1001@okaxis,xs9905@okaxis,7816,2022-03-13 18:24:32.000000 UTC,2022-03-13,18,1
615163591041,ac1001@okaxis,xs9905@okaxis,7624,2022-07-17 12:19:32.000000 UTC,2022-07-17,12,1
986237526156,ac1001@okaxis,xs9905@okaxis,7992,2022-06-19 11:41:19.000000 UTC,2022-06-19,11,1
737867727592,ac1001@okaxis,xs9905@okaxis,7647,2022-07-03 15:22:15.000000 UTC,2022-07-03,15,1
337342407222,ac1001@okaxis,xs9905@okaxis,7900,2022-03-20 17:37:31.000000 UTC,2022-03-20,17,1
902085753896,ac1001@okaxis,xs9905@okaxis,7650,2022-07-17 17:42:39.000000 UTC,2022-07-17,17,1
755997290708,ac1001@okaxis,xs9905@okaxis,7234,2022-10-23 19:31:18.000000 UTC,2022-10-23,19,1
57309173752,ac1001@okaxis,xs9905@okaxis,8108,2022-03-20 12:34:24.000000 UTC,2022-03-20,12,1
354599750837,ac1001@okaxis,xs9905@okaxis,7496,2022-09-11 13:28:26.000000 UTC,2022-09-11,13,1
249474390488,ac1001@okaxis,xs9905@okaxis,7090,2022-07-17 15:22:44.000000 UTC,2022-07-17,15,1
117400469021,ac1001@okaxis,xs9905@okaxis,7710,2022-04-17 15:16:27.000000 UTC,2022-04-17,15,1
552430110640,ac1001@okaxis,xs9905@okaxis,7107,2022-01-09 08:29:25.000000 UTC,2022-01-09,8,1
919638828409,ac1001@okaxis,xs9905@okaxis,7871,2022-05-08 16:24:41.000000 UTC,2022-05-08,16,1
395917063555,ac1001@okaxis,xs9905@okaxis,7257,2022-06-19 19:22:27.000000 UTC,2022-06-19,19,1
558506333192,aa1001@okhdfcbank,xa1001@okicici,1299,2022-04-17 17:27:35.000000 UTC,2022-04-17,17,1
248812378533,aa1001@okhdfcbank,xa1001@okicici,1373,2022-03-20 15:27:31.000000 UTC,2022-03-20,15,1
840479053442,aa1001@okhdfcbank,xa1001@okicici,1431,2022-09-18 13:32:40.000000 UTC,2022-09-18,13,1
671649540559,aa1001@okhdfcbank,xa1001@okicici,1770,2022-07-10 19:32:45.000000 UTC,2022-07-10,19,1
393914154226,aa1001@okhdfcbank,xa1001@okicici,1985,2022-04-10 08:38:41.000000 UTC,2022-04-10,8,1
173689914689,aa1001@okhdfcbank,xa1001@okicici,1740,2022-05-29 14:40:24.000000 UTC,2022-05-29,14,1
659523850024,aa1001@okhdfcbank,xa1001@okicici,1332,2022-05-08 19:24:26.000000 UTC,2022-05-08,19,1
200178178438,aa1001@okhdfcbank,xa1001@okicici,1054,2022-02-20 17:29:26.000000 UTC,2022-02-20,17,1
116807447834,aa1001@okhdfcbank,xa1001@okicici,1371,2022-09-11 13:28:21.000000 UTC,2022-09-11,13,1
856701911348,aa1001@okhdfcbank,xa1001@okicici,1130,2022-04-17 15:39:38.000000 UTC,2022-04-17,15,1
255373737208,aa1001@okhdfcbank,xa1001@okicici,1083,2022-07-17 19:29:34.000000 UTC,2022-07-17,19,1
997631135659,aa1001@okhdfcbank,xa1001@okicici,1333,2022-09-11 13:47:27.000000 UTC,2022-09-11,13,1
630724433964,aa1001@okhdfcbank,xa1001@okicici,1966,2022-01-23 14:35:21.000000 UTC,2022-01-23,14,1
325336456444,aa1001@okhdfcbank,xa1001@okicici,1936,2022-08-21 19:34:18.000000 UTC,2022-08-21,19,1
358947308876,ab1001@okicicibank,xk9001@okicici,10536,2022-01-16 13:33:22.000000 UTC,2022-01-16,13,1
189464915655,ab1001@okicicibank,xk9001@okicici,10508,2022-07-17 19:33:36.000000 UTC,2022-07-17,19,1
496800964975,ab1001@okicicibank,xk9001@okicici,11035,2022-05-22 08:31:34.000000 UTC,2022-05-22,8,1
583197947401,ab1001@okicicibank,xk9001@okicici,10779,2022-06-19 19:25:31.000000 UTC,2022-06-19,19,1
112812708372,ab1001@okicicibank,xk9001@okicici,10234,2022-08-14 08:26:38.000000 UTC,2022-08-14,8,1
846401026830,ab1001@okicicibank,xk9001@okicici,10508,2022-08-21 14:40:30.000000 UTC,2022-08-21,14,1
260280700321,ab1001@okicicibank,xk9001@okicici,10127,2022-08-21 16:25:22.000000 UTC,2022-08-21,16,1
326699794643,ab1001@okicicibank,xk9001@okicici,10710,2022-01-09 16:37:27.000000 UTC,2022-01-09,16,1
884569750510,ab1001@okicicibank,xk9001@okicici,10657,2022-09-18 17:36:20.000000 UTC,2022-09-18,17,1
769357177309,ab1001@okicicibank,xk9001@okicici,10294,2022-03-13 19:32:27.000000 UTC,2022-03-13,19,1
818928942986,ab1001@okicicibank,xk9001@okicici,10816,2022-04-10 17:30:32.000000 UTC,2022-04-10,17,1
639641091437,ab1001@okicicibank,xk9001@okicici,10215,2022-09-11 14:35:30.000000 UTC,2022-09-11,14,1
694594042539,ab1001@okicicibank,xk9001@okicici,10670,2022-09-11 19:27:39.000000 UTC,2022-09-11,19,1
44962608556,ab1001@okicicibank,xk9001@okicici,10894,2022-04-10 16:26:26.000000 UTC,2022-04-10,16,1
161952655393,ac1001@okaxis,xr9905@okicici,5075,2022-02-13 16:26:27.000000 UTC,2022-02-13,16,1
271043102878,ac1001@okaxis,xr9905@okicici,5348,2022-10-16 13:43:39.000000 UTC,2022-10-16,13,1
749947029537,ac1001@okaxis,xr9905@okicici,6009,2022-04-17 16:25:28.000000 UTC,2022-04-17,16,1
880690868814,ac1001@okaxis,xr9905@okicici,5223,2022-01-16 19:28:28.000000 UTC,2022-01-16,19,1
837943476107,ac1001@okaxis,xr9905@okicici,5341,2022-01-09 12:43:28.000000 UTC,2022-01-09,12,1
267779050483,ac1001@okaxis,xr9905@okicici,5583,2022-01-09 19:22:42.000000 UTC,2022-01-09,19,1
135281986982,ac1001@okaxis,xr9905@okicici,5753,2022-06-12 16:36:17.000000 UTC,2022-06-12,16,1
761864282954,ac1001@okaxis,xr9905@okicici,5460,2022-07-10 12:28:43.000000 UTC,2022-07-10,12,1
640757252133,ac1001@okaxis,xr9905@okicici,5325,2022-06-19 11:48:36.000000 UTC,2022-06-19,11,1
668247357639,ac1001@okaxis,xr9905@okicici,5280,2022-10-23 18:24:32.000000 UTC,2022-10-23,18,1
679528482723,ac1001@okaxis,xr9905@okicici,5426,2022-07-10 19:30:45.000000 UTC,2022-07-10,19,1
254060660664,ac1001@okaxis,xr9905@okicici,5593,2022-07-24 12:39:28.000000 UTC,2022-07-24,12,1
172680468079,ac1001@okaxis,xr9905@okicici,5738,2022-07-10 15:45:18.000000 UTC,2022-07-10,15,1
292046900327,ac1001@okaxis,xr9905@okicici,5984,2022-05-22 11:30:26.000000 UTC,2022-05-22,11,1
358873656279,ac1001@okaxis,xr9905@okicici,5780,2022-01-16 12:20:28.000000 UTC,2022-01-16,12,1
83998100449,ac1001@okaxis,xr9905@okicici,5635,2022-02-20 12:21:34.000000 UTC,2022-02-20,12,1
471563527629,ac1001@okaxis,xr9905@okicici,5991,2022-04-03 18:16:30.000000 UTC,2022-04-03,18,1
701063389665,ac1001@okaxis,xr9905@okicici,5810,2022-05-08 18:27:20.000000 UTC,2022-05-08,18,1
441480435963,ac1001@okaxis,xr9905@okicici,5468,2022-05-08 14:22:38.000000 UTC,2022-05-08,14,1
632253256954,ac1001@okaxis,xr9905@okicici,5084,2022-06-05 13:38:20.000000 UTC,2022-06-05,13,1
261913887958,ac1001@okaxis,xr9905@okicici,5768,2022-05-22 14:28:27.000000 UTC,2022-05-22,14,1
638516060441,ac1001@okaxis,xr9905@okicici,5770,2022-03-13 19:23:29.000000 UTC,2022-03-13,19,1
663915325428,ac1001@okaxis,xr9905@okicici,5503,2022-02-13 17:37:36.000000 UTC,2022-02-13,17,1
969145621818,ac1001@okaxis,xr9905@okicici,5683,2022-04-17 18:28:29.000000 UTC,2022-04-17,18,1
320698494724,ac1001@okaxis,xr9905@okicici,5663,2022-02-27 15:22:21.000000 UTC,2022-02-27,15,1
375745661399,ac1001@okaxis,xr9905@okicici,5205,2022-01-16 15:43:31.000000 UTC,2022-01-16,15,1
907529949445,ac1001@okaxis,xr9905@okicici,5564,2022-07-17 19:17:40.000000 UTC,2022-07-17,19,1
670446453674,aa1001@okhdfcbank,xb1001@okhdfcbank,5041,2022-07-10 15:25:30.000000 UTC,2022-07-10,15,1
337288437068,aa1001@okhdfcbank,xb1001@okhdfcbank,4491,2022-04-17 19:41:33.000000 UTC,2022-04-17,19,1
951207360025,aa1001@okhdfcbank,xb1001@okhdfcbank,4733,2022-08-14 08:32:31.000000 UTC,2022-08-14,8,1
669397614011,aa1001@okhdfcbank,xb1001@okhdfcbank,4146,2022-01-16 13:28:34.000000 UTC,2022-01-16,13,1
280738081520,aa1001@okhdfcbank,xb1001@okhdfcbank,4139,2022-06-05 19:35:26.000000 UTC,2022-06-05,19,1
734184873391,aa1001@okhdfcbank,xb1001@okhdfcbank,4312,2022-03-13 17:17:36.000000 UTC,2022-03-13,17,1
441331555266,aa1001@okhdfcbank,xb1001@okhdfcbank,4650,2022-02-20 10:25:15.000000 UTC,2022-02-20,10,1
571822332847,aa1001@okhdfcbank,xb1001@okhdfcbank,4788,2022-01-09 19:32:24.000000 UTC,2022-01-09,19,1
610761234771,aa1001@okhdfcbank,xb1001@okhdfcbank,4990,2022-01-16 08:34:25.000000 UTC,2022-01-16,8,1
657231031412,aa1001@okhdfcbank,xb1001@okhdfcbank,4261,2022-04-24 19:39:38.000000 UTC,2022-04-24,19,1
911627958625,aa1001@okhdfcbank,xb1001@okhdfcbank,4290,2022-07-10 12:22:26.000000 UTC,2022-07-10,12,1
377962379659,aa1001@okhdfcbank,xb1001@okhdfcbank,4900,2022-09-18 17:30:31.000000 UTC,2022-09-18,17,1
137786540369,aa1001@okhdfcbank,xb1001@okhdfcbank,4875,2022-09-11 09:26:22.000000 UTC,2022-09-11,9,1
522217512888,aa1001@okhdfcbank,xb1001@okhdfcbank,4323,2022-09-11 19:26:30.000000 UTC,2022-09-11,19,1
101146149189,aa1001@okhdfcbank,xb1001@okhdfcbank,4972,2022-09-11 08:31:30.000000 UTC,2022-09-11,8,1
291561214069,aa1001@okhdfcbank,xb1001@okhdfcbank,4298,2022-06-19 10:35:10.000000 UTC,2022-06-19,10,1
638810937769,aa1001@okhdfcbank,xb1001@okhdfcbank,4306,2022-01-16 14:26:31.000000 UTC,2022-01-16,14,1
976971237415,aa1001@okhdfcbank,xb1001@okhdfcbank,4873,2022-09-25 14:25:20.000000 UTC,2022-09-25,14,1
967397061975,aa1001@okhdfcbank,xb1001@okhdfcbank,5007,2022-05-22 19:31:25.000000 UTC,2022-05-22,19,1
962498701435,aa1001@okhdfcbank,xb1001@okhdfcbank,4760,2022-09-18 16:19:22.000000 UTC,2022-09-18,16,1
193560924598,aa1001@okhdfcbank,xb1001@okhdfcbank,4103,2022-04-10 15:30:33.000000 UTC,2022-04-10,15,1
583656208760,aa1001@okhdfcbank,xb1001@okhdfcbank,4393,2022-08-14 19:25:27.000000 UTC,2022-08-14,19,1
438766016841,ab1001@okicicibank,xl9001@okhdfcbank,13099,2022-09-18 08:42:43.000000 UTC,2022-09-18,8,1
894588464658,ab1001@okicicibank,xl9001@okhdfcbank,12363,2022-01-16 16:27:23.000000 UTC,2022-01-16,16,1
130222331160,ab1001@okicicibank,xl9001@okhdfcbank,12761,2022-09-18 08:22:21.000000 UTC,2022-09-18,8,1
282022218044,ab1001@okicicibank,xl9001@okhdfcbank,12765,2022-01-23 15:35:38.000000 UTC,2022-01-23,15,1
453921218479,ab1001@okicicibank,xl9001@okhdfcbank,12905,2022-07-17 19:27:22.000000 UTC,2022-07-17,19,1
861964179846,ab1001@okicicibank,xl9001@okhdfcbank,12005,2022-07-10 08:27:39.000000 UTC,2022-07-10,8,1
490247633745,ab1001@okicicibank,xl9001@okhdfcbank,12142,2022-09-18 19:29:25.000000 UTC,2022-09-18,19,1
248624457048,ab1001@okicicibank,xl9001@okhdfcbank,12630,2022-05-15 08:29:24.000000 UTC,2022-05-15,8,1
525589484662,ab1001@okicicibank,xl9001@okhdfcbank,12292,2022-03-13 15:32:38.000000 UTC,2022-03-13,15,1
814788879524,ab1001@okicicibank,xl9001@okhdfcbank,12480,2022-05-22 11:30:40.000000 UTC,2022-05-22,11,1
385111017935,ac1001@okaxis,xq9905@okhdfcbank,3101,2022-08-14 19:17:28.000000 UTC,2022-08-14,19,1
484484562420,ac1001@okaxis,xq9905@okhdfcbank,3920,2022-06-12 19:26:28.000000 UTC,2022-06-12,19,1
605512690528,ac1001@okaxis,xq9905@okhdfcbank,3919,2022-09-18 19:25:33.000000 UTC,2022-09-18,19,1
429768689071,ac1001@okaxis,xq9905@okhdfcbank,3494,2022-07-10 19:19:26.000000 UTC,2022-07-10,19,1
151949949211,ac1001@okaxis,xq9905@okhdfcbank,3988,2022-02-20 14:27:41.000000 UTC,2022-02-20,14,1
4714512616,ac1001@okaxis,xq9905@okhdfcbank,4094,2022-04-17 19:40:25.000000 UTC,2022-04-17,19,1
472016138141,ac1001@okaxis,xq9905@okhdfcbank,3745,2022-07-17 19:26:38.000000 UTC,2022-07-17,19,1
842063073042,ac1001@okaxis,xq9905@okhdfcbank,3994,2022-06-19 19:23:41.000000 UTC,2022-06-19,19,1
543232628558,ac1001@okaxis,xq9905@okhdfcbank,3448,2022-05-15 14:21:32.000000 UTC,2022-05-15,14,1
296510209869,ac1001@okaxis,xq9905@okhdfcbank,3623,2022-04-17 08:21:27.000000 UTC,2022-04-17,8,1
430145641412,ac1001@okaxis,xq9905@okhdfcbank,3362,2022-08-07 19:39:41.000000 UTC,2022-08-07,19,1
200061731538,ac1001@okaxis,xq9905@okhdfcbank,3887,2022-02-13 12:19:36.000000 UTC,2022-02-13,12,1
589872152902,ac1001@okaxis,xq9905@okhdfcbank,3515,2022-07-24 18:53:29.000000 UTC,2022-07-24,18,1
377620373711,ac1001@okaxis,xq9905@okhdfcbank,3088,2022-03-06 08:29:27.000000 UTC,2022-03-06,8,1
423685452048,ac1001@okaxis,xq9905@okhdfcbank,3198,2022-08-21 13:28:23.000000 UTC,2022-08-21,13,1
902222758134,ac1001@okaxis,xq9905@okhdfcbank,3900,2022-02-13 11:17:33.000000 UTC,2022-02-13,11,1
920911678161,ac1001@okaxis,xq9905@okhdfcbank,3427,2022-03-20 08:36:31.000000 UTC,2022-03-20,8,1
927895150970,ac1001@okaxis,xq9905@okhdfcbank,3520,2022-03-13 10:31:22.000000 UTC,2022-03-13,10,1
715212879720,ac1001@okaxis,xq9905@okhdfcbank,3354,2022-04-17 14:34:25.000000 UTC,2022-04-17,14,1
402159061478,ac1001@okaxis,xq9905@okhdfcbank,3951,2022-01-16 16:35:24.000000 UTC,2022-01-16,16,1
130088346368,ac1001@okaxis,xq9905@okhdfcbank,3327,2022-01-23 17:25:32.000000 UTC,2022-01-23,17,1
40693616449,ac1001@okaxis,xq9905@okhdfcbank,3755,2022-09-18 10:30:26.000000 UTC,2022-09-18,10,1
862792366721,ac1001@okaxis,xq9905@okhdfcbank,3423,2022-07-10 15:26:25.000000 UTC,2022-07-10,15,1
556201974171,ac1001@okaxis,xq9905@okhdfcbank,3763,2022-05-15 13:31:24.000000 UTC,2022-05-15,13,1
423708122826,ac1001@okaxis,xq9905@okhdfcbank,3455,2022-08-21 19:34:32.000000 UTC,2022-08-21,19,1
312586043132,ac1001@okaxis,xq9905@okhdfcbank,3860,2022-10-23 13:10:37.000000 UTC,2022-10-23,13,1
378760311074,ac1001@okaxis,xq9905@okhdfcbank,3883,2022-03-20 10:30:36.000000 UTC,2022-03-20,10,1
700553704577,ac1001@okaxis,xq9905@okhdfcbank,3812,2022-01-23 14:26:23.000000 UTC,2022-01-23,14,1
152921255232,aa1001@okhdfcbank,xc1001@oksbi,6776,2022-05-23 19:44:28.000000 UTC,2022-05-23,19,2
850833407790,aa1001@okhdfcbank,xc1001@oksbi,6230,2022-04-11 14:24:36.000000 UTC,2022-04-11,14,2
783745556093,aa1001@okhdfcbank,xc1001@oksbi,6791,2022-01-24 09:39:40.000000 UTC,2022-01-24,9,2
109701324509,aa1001@okhdfcbank,xc1001@oksbi,6567,2022-05-23 08:29:37.000000 UTC,2022-05-23,8,2
